Bulan,Beras,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Daging Ayam,Daging Ayam Ras Segar,Daging Sapi,Daging Sapi Kualitas 1,Daging Sapi Kualitas 2,Telur Ayam,Telur Ayam Ras Segar,Bawang Merah,Bawang Merah Ukuran Sedang,Bawang Putih,Bawang Putih Ukuran Sedang,Cabai Merah,Cabai Merah Besar,Cabai Merah Keriting ,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Minyak Goreng,Minyak Goreng Curah,Minyak Goreng Kemasan Bermerk 1,Minyak Goreng Kemasan Bermerk 2,Gula Pasir,Gula Pasir Kualitas Premium,Gula Pasir Lokal
2025-01,14702.326120283637,14270.728548361774,13621.859252021164,15024.001648884572,14966.475657321706,16400.65808399969,15777.007871871985,38207.562413041014,37798.99808000881,134802.63698196065,138864.83931283816,129199.6827207446,30693.77697459622,30618.678953774775,42496.78453250054,41448.013885637796,43635.13231479165,42707.770757493316,55299.069782405684,54930.17716874348,53302.1174636495,52888.764355019484,49500.85110992389,55773.01361168038,20059.354177132976,16864.848764130984,21272.95831786435,19462.274658087677,18089.781005309098,18867.725359661028,18099.993847366037
2025-01,14699.273247726054,14275.139568118677,13611.091733881676,15018.328724465908,14936.090912807256,16385.643722304092,15731.342032296916,38189.07445560426,37776.89892450056,134729.7827816778,138832.11455633558,129152.23138843378,30697.848580162656,30591.040551964943,41974.7445250223,40860.047370772234,43550.80174209858,42488.50976669987,55496.5198396434,55032.890745358105,53686.175137752536,52727.322353887546,49595.90884550491,55689.29120766182,20109.215241867176,16904.068101111217,21285.55955497104,19484.92613901689,18102.404777887437,18911.721465531315,18149.677084244675
2025-03,14709.468564144438,14280.648345234129,13606.368914498256,15002.047308715835,14891.54068026021,16368.049797249589,15676.820560759008,38143.111810456205,37721.967321985816,134633.21328106028,138807.56024724242,129103.93359338687,30686.665450344208,30544.94739651904,41044.99327846021,39836.62479160486,43420.91020570068,42165.38582708134,55805.11489707125,55162.51657904139,54311.47069314463,52558.71544402289,49827.83831157883,55636.51059780594,20182.346375834226,16969.982127891744,21312.24038224133,19536.04201129467,18133.63337635609,18982.413802092764,18211.452125604887
2025-04,14753.839435755079,14280.56876241209,13623.58689163785,14974.373406187462,14855.09350848507,16361.798667616822,15654.206393336715,38067.27802299957,37629.49475196698,134574.34212743473,138836.23039058066,129109.4744032725,30639.596531515377,30487.840967192395,39842.93674627975,38553.51497497633,43302.204806584574,41867.66907596961,56117.91366009906,55259.9253550791,54992.44186263824,52547.73438254805,50222.15654469315,55720.54001270482,20245.08024080249,17048.883712117757,21349.441231864723,19622.162683515453,18186.07595955349,19059.160457242444,18242.67848749747
2025-05,14847.16760724437,14269.859765256617,13666.542367592992,14941.181390138117,14843.73051384626,16374.626458976636,15685.072553542856,37972.0140843951,37511.84625067309,134588.0147021078,138925.11040527245,129191.68261922951,30554.18766815804,30421.95824459717,38478.496535677616,37136.21359713912,43255.0871867156,41665.924545557544,56334.99042720193,55313.12661805641,55550.23054671097,52705.09051140687,50715.21489792831,55913.08143670803,20276.743440192513,17130.71828449067,21384.362420384015,19739.951431748686,18255.165907538976,19129.32487322452,18223.194967185336
2025-05,14991.342240219321,14251.35738665745,13730.238839535647,14908.013864746721,14863.831006839016,16407.828352847744,15772.783692555528,37870.31847871633,37390.5973608982,134669.91121391475,139039.50358366378,129331.95170195981,30449.520674867497,30352.356627547953,37050.43887306045,35681.039888176434,43319.81977880846,41576.199156764415,56362.87600413208,55300.662490209324,55820.71631094629,52872.0031914859,51161.49714072645,56051.3455637833,20276.628643692708,17206.443647869175,21402.532943764916,19871.448563565893,18334.30292366336,19189.010693897013,18156.833286692912
2025-06,15168.974243720342,14233.871158770009,13805.438063640977,14875.770588373482,14910.729111496445,16456.80837661274,15906.33228133208,37767.789532682866,37282.49941147062,134792.09413073506,139136.78171238425,129485.1280306399,30351.348324442508,30289.170704261993,35641.275973726515,34273.109515283846,43479.45418416089,41575.933353988396,56150.99273606746,55169.95262436978,55724.24430715846,52861.651187588075,51418.79253458776,55944.04848147892,20257.36920964637,17268.320528190387,21398.649618199284,19996.024354961533,18417.150370701424,19240.204350691827,18061.98485492012
2025-07,15344.777370207466,14224.82495170405,13880.269272128215,14844.946603333614,14972.500292317913,16512.999064295986,16062.333681266155,37664.13172021115,37195.571499921774,134928.08744788548,139203.68141366608,129608.08427218194,30272.132604798266,30239.53547970756,34290.25783504824,32969.79753594904,43657.69305715164,41610.240741431844,55731.19573122036,54881.61721317143,55333.57841830069,52588.234879615076,51413.53914153212,55466.10052711335,20231.841027507096,17312.03265942313,21377.517297394694,20103.878078235415,18498.160708227122,19289.22128036437,17962.17268642063
2025-08,15480.829848197689,14227.113030627488,13944.325566289765,14821.096823983768,15038.060146602482,16569.44647790366,16214.577172993113,37559.15166305246,37133.43998343585,135064.1317957986,139265.27855091906,129687.68432945895,30205.4023318352,30204.07598509522,32993.49340295284,31789.02819237738,43764.78027566916,41618.53525507412,55193.81203962663,54432.03396065784,54819.144411142464,52068.15831088594,51140.63507156147,54575.73653137781,20204.813658153522,17336.436284550597,21346.997143313725,20194.309272431434,18576.51787240184,19343.52360550355,17875.5532778097
2025-09,15556.105143799328,14239.817262630722,13992.125596942573,14812.56492383539,15101.285035938221,16623.423954204947,16343.475507463423,37456.66609340844,37098.49559662216,135191.25457597405,139351.98891593315,129741.721048274,30141.01863467555,30181.979046817913,31733.250234963045,30716.635189497436,43746.90423350068,41570.549757963025,54617.79851289613,53831.42876754455,54322.88753793751,51344.51653386591,50624.6528600215,53279.159776309054,20174.492205388473,17343.98444865206,21312.867628439424,20268.343668424524,18654.64540195503,19405.70341850131,17809.598938915613
2025-10,15574.695443959328,14258.410568399808,14021.312710607137,14823.2460398146,15157.151240849107,16672.571870184318,16436.495418079016,37367.75190164264,37092.99937723126,135295.25684382397,139458.79455460093,129797.60204911708,30081.801706441584,30174.551846917926,30499.211821677996,29716.62968979656,43600.66490546828,41477.14826339038,54021.720284543,53083.35670044148,53888.401899850214,50431.59353182683,49885.67585940513,51601.6841456907,20138.077002316422,17342.72241166658,21279.72210739916,20325.40020712509,18731.361805938963,19469.82478852837,17763.76107101485
2025-11,15555.501233364024,14276.496837195593,14030.163260415144,14850.884021687709,15199.31954230869,16712.22599382892,16486.130047649756,37308.39968317663,37118.9055014867,135360.10736828193,139547.87828629464,129875.95142646729,30041.303340939765,30183.180641496947,29284.37785244773,28741.778279028324,43350.16469701387,41370.115527704926,53365.332915821215,52176.223829788374,53472.92226522225,49308.82947973288,48928.55210084761,49573.85156165324,20094.508383107997,17344.382810768348,21252.638888252084,20362.243404359946,18801.246889150178,19525.275977087837,17734.123515169504
2025-12,15515.271062673075,14288.650733749455,14018.144108027001,14891.785335841727,15223.517548966567,16738.19871947271,16491.02730544989,37288.060066813756,37174.102489817225,135378.2183076972,139586.89595346694,129983.7100545713,30030.525379620598,30206.75361009871,28073.831729800506,27749.37728130102,43016.398490479914,41273.72524273455,52582.383164001236,51082.49733745935,52987.217442508176,47939.80288736294,47742.4006049979,47204.590599670904,20044.89936097993,17357.741582873787,21235.10304193639,20374.69938994369,18857.863195458795,19563.098040970523,17714.72584246041
2026-01,15463.277644200978,14289.154363100692,13986.772301965186,14944.680656738468,15229.609673197128,16749.257568541885,16456.02243609054,37302.16942951578,37250.66256578027,135355.5532252742,139567.71810691172,130110.5966773864,30051.768991148158,30241.724916427724,26847.61645471471,26712.93238639107,42607.42367821597,41190.827244604334,51604.87289829687,49763.64448047072,52324.86076645147,46278.68892847401,46296.048503112535,44456.84433163988,19991.92327069227,17384.70431605308,21224.55872437358,20360.275644866597,18892.527255889385,19576.2052509082,17696.190425795445
2026-02,15406.79189328715,14268.669634630416,13939.058346248255,15011.893860634164,15219.98821512558,16746.524688479458,16388.986373417625,37339.36692851045,37341.7357609188,135312.61873451047,139490.2984338131,130230.5863594052,30100.7741326225,30282.517509541816,25600.265116831066,25627.68289343303,42124.260342532005,41102.43642277792,50371.69762930677,48185.75986179187,51388.44440520997,44261.646736725204,44536.84294418995,41265.42255774859,19936.74474160091,17422.303002145152,21209.13935888016,20316.739884807575,18892.10742161276,19555.299275256042,17665.982082454335
2026-03,15352.826050384838,14218.209948205502,13878.753008801978,15098.091061848325,15199.270817597451,16732.50117278926,16299.507328495241,37395.11463057173,37450.56250460518,135282.64883507648,139349.13207414382,130306.45583335392,30169.12798470239,30322.331987912843,24371.67193799741,24529.910513934796,41569.06817409306,40972.95970755851,48866.76739608676,46376.46558614616,50143.731914052725,41837.36551602498,42420.197089125955,37609.28845792239,19875.56997934031,17465.187164771305,21172.545321527,20240.455248135302,18843.573670791127,19490.03244855321,17611.86137385583
2026-04,15300.347767850642,14140.371804828465,13809.7728445477,15201.668880961352,15173.188638889993,16707.759117337395,16199.232770835493,37480.306233413336,37593.527567865014,135300.53099336274,139148.9941736101,130294.46130302033,30245.68283408569,30357.459283669705,23272.428305431986,23526.667090490424,40961.30693979775,40766.30197937717,47192.865373997935,44484.294144048225,48685.70283138828,39034.631894808,39978.22146573081,33595.80490042942,19801.316792029942,17506.21641027014,21110.164970329275,20129.27598157911,18744.229035407952,19378.688950448923,17527.00339078229
2026-05,15234.776481067294,14051.042607317704,13735.899880446756,15302.553108455877,15141.80014277007,16664.966166686074,16098.321934609907,37619.14827517966,37794.89066683459,135382.73973601052,138930.0587197289,130157.45768246603,30319.14790700647,30390.011448930745,22462.784127268125,22780.362393562402,40360.13869041807,40472.87617992215,45580.66181984692,42719.95166688335,47212.173178794816,35961.13120223063,37357.90947656827,29460.72976427456,19713.818365101164,17539.298239212763,21039.87611917557,19984.67906028901,18603.46768415836,19234.52379841409,17412.504706574073
