Komoditas,RMSE_Train,RMSE_Test,MAE_Train,MAE_Test,MAPE_Train (%),MAPE_Test (%),Status_MAPE
Beras,314.0152089372803,128.82600795734209,185.66475648271302,97.30438956567802,1.41994773922715,0.6296163426063871,Target Tercapai
Beras Kualitas Bawah I,298.28319191753064,121.910792263606,166.96046791888298,90.83909891419492,1.3906109499968364,0.6358888777726387,Target Tercapai
Beras Kualitas Bawah II,300.7648522384924,130.10437348059256,159.98511884973408,96.15505826271193,1.343480028764436,0.6856825792793391,Target Tercapai
Beras Kualitas Medium I,332.5141631145266,130.5007887769427,200.06946891622337,96.22793630826274,1.5330956265522246,0.6192242740555466,Target Tercapai
Beras Kualitas Medium II,298.55063714003546,136.39498276144514,180.9567736037231,97.22904528601741,1.4020234636376023,0.629268491432706,Target Tercapai
Beras Kualitas Super I,391.29320727945344,132.40218198950063,208.9447348736701,96.86500264830508,1.4523109643377712,0.574660621504557,Target Tercapai
Beras Kualitas Super II,386.12982751501715,114.03184675245532,231.50985289228709,78.08550715042364,1.6534901567572893,0.47624720796101633,Target Tercapai
Daging Ayam,2195.9025509618723,1212.611406023495,1630.3702127659574,963.7846927966102,4.646999934766631,2.599390405281602,Target Tercapai
Daging Ayam Ras Segar,2255.806756464888,1212.1754534921504,1689.3843833111703,973.453058792373,4.827476767736324,2.6391063582902925,Target Tercapai
Daging Sapi,4222.542617357021,877.5600641727036,2865.723371010638,585.8220338983051,2.3374787113036994,0.42872022562214906,Target Tercapai
Daging Sapi Kualitas 1,4576.215695900716,929.0115519208342,2966.1519946808503,547.5805084745763,2.337809760118271,0.38996710612436136,Target Tercapai
Daging Sapi Kualitas 2,4570.168552685313,984.3292491753757,3230.702593085107,744.0198622881351,2.7542040421979124,0.5678597331762817,Target Tercapai
Telur Ayam,2135.933398607207,679.9874110865026,1579.4149850398935,486.1355270127119,5.8722229689976615,1.6060478639177214,Target Tercapai
Telur Ayam Ras Segar,1963.9620657162075,681.5068144070327,1379.5016871675532,457.3672537076271,5.068255156703761,1.503740969588687,Target Tercapai
Bawang Merah,3000.687944466952,2874.7037526438944,2224.635746343085,2140.804422669492,5.770005544722132,4.8645191171597695,Target Tercapai
Bawang Merah Ukuran Sedang,6445.012177791252,5423.474641696663,5071.603706781915,4781.950476694915,13.814768380618512,11.649718290715304,Target Tercapai
Bawang Putih,2465.8835488189766,1334.4715650790592,1644.9631732047872,1078.963122351695,4.946001468690299,2.457548464536331,Target Tercapai
Bawang Putih Ukuran Sedang,2543.996746022305,1356.0849189432063,1701.9971243351065,1096.2932335805085,5.129455083775673,2.501810222084706,Target Tercapai
Cabai Merah,5718.586205855316,4921.545687515195,4267.742686170212,3932.8244835805085,9.44254753369926,8.193029746413135,Target Tercapai
Cabai Merah Besar,5849.518029326296,4835.438235935011,4398.808494015958,3713.647709216102,9.675995234874662,7.9162881588496505,Target Tercapai
Cabai Merah Keriting ,5600.241731755066,5027.370429109117,4197.154870345745,3910.256753177966,9.10053777182321,7.993298244680076,Target Tercapai
Cabai Rawit,5312.877681276142,4702.073974510258,3884.339644281915,3556.795219809322,7.76755245372872,5.9131114891350585,Target Tercapai
Cabai Rawit Hijau,4521.513138759802,3292.9028323432026,3245.988904587766,2411.3439486228813,7.353059689621774,4.887043127170474,Target Tercapai
Cabai Rawit Merah,7491.831579510018,7076.662250597107,5688.935372340426,5307.421808792373,10.356238203646877,7.890176036514703,Target Tercapai
Minyak Goreng,894.8032455065272,132.1192608921839,530.1303731715426,101.32885328389831,2.8112247505201657,0.49702766910121643,Target Tercapai
Minyak Goreng Curah,714.2134863261413,257.2159822315781,474.520856881649,197.56147378177965,2.9996769463060744,1.0801109193652345,Target Tercapai
Minyak Goreng Kemasan Bermerk 1,961.3449674882652,118.03463736298758,520.1149517952126,98.3189221398305,2.5147835235231883,0.4548676525576166,Target Tercapai
Minyak Goreng Kemasan Bermerk 2,1070.9233488544078,135.81434874466586,574.9191281582447,106.74986758474576,2.9137275377280183,0.5152213197853536,Target Tercapai
Gula Pasir,535.1388389013918,127.20812864151459,309.5142661236701,102.92889300847457,1.9275616595183342,0.5426128159913045,Target Tercapai
Gula Pasir Kualitas Premium,473.75547108521687,107.27978572723725,336.78587516622304,87.61731991525424,2.0412052894692194,0.4466396369951473,Target Tercapai
Gula Pasir Lokal,638.4610542556214,149.57279584292405,388.4161610704787,120.48245497881356,2.5281659843502986,0.6555825806152519,Target Tercapai
