Komoditas,RMSE,MAE,MAPE (%)
Beras,667.9841283188601,591.2470703125018,3.749195141974504
Beras Kualitas Bawah I,332.668936407446,300.648053850449,2.098333282401614
Beras Kualitas Bawah II,373.72551773197495,321.2905970982148,2.240411402024444
Beras Kualitas Medium I,781.9811793251174,702.5360281808111,4.430840344132293
Beras Kualitas Medium II,592.8463612114797,509.0536760602717,3.232796830347849
Beras Kualitas Super I,456.56755073747263,389.90848214285404,2.275954480748713
Beras Kualitas Super II,445.42128594986514,356.5986676897334,2.138927972928958
Daging Ayam,1050.7462328797988,956.1542968750052,2.6483044474258066
Daging Ayam Ras Segar,1137.6805968995839,1027.4787946428623,2.8522021135296356
Daging Sapi,2783.383499123829,2735.647321428579,1.9939466918106978
Daging Sapi Kualitas 1,1477.9252658741352,1368.929129464291,0.973787735253913
Daging Sapi Kualitas 2,2703.7009919340376,2624.925223214293,1.9830911933413065
Telur Ayam,297.5127817941249,243.7435825892879,0.8035331272334167
Telur Ayam Ras Segar,256.07294465848184,215.4325474330391,0.7103932278758245
Bawang Merah,5516.739613047258,4731.971819196434,9.579434780853102
Bawang Merah Ukuran Sedang,6250.64778285275,5458.948102678577,11.095479530278931
Bawang Putih,2972.3402918169195,2467.098772321424,6.025367342334798
Bawang Putih Ukuran Sedang,2410.0442357025713,2080.951590401786,4.774833475101821
Cabai Merah,4838.400358347379,4203.604771205361,7.982624844387278
Cabai Merah Besar,5128.787727144212,4408.732561383942,8.89739208385101
Cabai Merah Keriting ,5253.391601921644,4463.208705357145,8.055294651430852
Cabai Rawit,6364.264492034876,4776.2074497767835,7.681651814796064
Cabai Rawit Hijau,3668.960431273275,2927.2971540178623,6.036455431082031
Cabai Rawit Merah,12037.287677789747,8636.834402901777,11.73779127312153
Minyak Goreng,886.0359290835258,855.9067382812385,4.077426239709812
Minyak Goreng Curah,1618.7460966408867,1610.3786969866069,8.644036672142223
Minyak Goreng Kemasan Bermerk 1,1394.1984818443023,1385.3271484374945,6.192776933281429
Minyak Goreng Kemasan Bermerk 2,1054.122059067598,963.4812360490974,4.4991791480147985
Gula Pasir,511.7116031148131,485.42494419642713,2.535125789144548
Gula Pasir Kualitas Premium,521.9348725098934,503.88504464286154,2.53919918031901
Gula Pasir Lokal,290.95681642565097,242.11928013392767,1.3000298081830859
