Komoditas,RMSE,MAE,MAPE (%)
Beras,774.9621179042617,745.7508081896551,4.750895228196899
Beras Kualitas Bawah I,743.58299363843,715.815463362069,4.957440392139511
Beras Kualitas Bawah II,713.2487901582635,689.6280307112069,4.837498324712433
Beras Kualitas Medium I,549.5197815361935,513.533640894396,3.247254148665461
Beras Kualitas Medium II,613.4986013202707,595.6218009159483,3.8076431823513603
Beras Kualitas Super I,545.645119398444,515.869140625,3.023454818402849
Beras Kualitas Super II,579.1093797673857,569.4425848599137,3.443076656010086
Daging Ayam,1300.6795441399004,1111.619073275862,3.063950747750617
Daging Ayam Ras Segar,1291.9120657367218,1082.9377693965516,2.9783493879424374
Daging Sapi,2447.8813229935804,2109.3092672413795,1.5362481814788744
Daging Sapi Kualitas 1,2429.757358292758,2267.1023706896553,1.6132548435207088
Daging Sapi Kualitas 2,2493.099601816374,2392.133890086207,1.8077201881689233
Telur Ayam,595.9447242624095,463.1672952586206,1.5298670047195067
Telur Ayam Ras Segar,335.90014136523195,291.40483566810383,0.9680612012874531
Bawang Merah,10320.103542057874,9218.511314655172,18.743379951299655
Bawang Merah Ukuran Sedang,9789.19791198889,8635.251346982759,17.50355489071691
Bawang Putih,2726.3938986334047,2473.911907327586,5.758272195783782
Bawang Putih Ukuran Sedang,3474.6332400709093,2878.8383620689656,6.553954651890913
Cabai Merah,5070.083737321397,4484.539466594828,8.543555940695596
Cabai Merah Besar,4476.816564166424,3669.688442887931,7.325402211500928
Cabai Merah Keriting ,5005.161597091257,4417.252424568965,8.267338309111684
Cabai Rawit,9478.931343263605,7551.9055765086205,12.414520662984582
Cabai Rawit Hijau,5341.548598159426,4440.532596982757,8.940176124100338
Cabai Rawit Merah,12724.972927872905,9977.587957974138,14.289282324728253
Minyak Goreng,2071.80299946756,2061.5113146551726,9.823192327731038
Minyak Goreng Curah,2456.263148059443,2449.4820851293102,13.136477494525172
Minyak Goreng Kemasan Bermerk 1,1960.9192749185406,1957.3227370689656,8.754790451684153
Minyak Goreng Kemasan Bermerk 2,1664.6886103818767,1661.9133890086207,7.77068347104784
Gula Pasir,1084.7752275155508,1064.9157462284484,5.565708479947796
Gula Pasir Kualitas Premium,1246.4972572411511,1237.2458917025863,6.2326880719250495
Gula Pasir Lokal,984.8916818157691,916.3884024784483,4.928400429237131
