Komoditas,RMSE,MAE,MAPE (%)
Beras,342.0485427865564,291.0401753270348,1.8618014133979701
Beras Kualitas Bawah I,247.10315692428554,201.08041878633722,1.3976037317599597
Beras Kualitas Bawah II,335.08044166365795,273.9008675508721,1.9283872458842821
Beras Kualitas Medium I,364.74587849483834,310.1237736191855,1.9734838063159885
Beras Kualitas Medium II,346.4890361167785,276.45264807412764,1.7701688006734722
Beras Kualitas Super I,303.1244175824735,250.1313135901163,1.4722810143153828
Beras Kualitas Super II,324.49042210489324,266.95046784156983,1.618491180618782
Daging Ayam,1574.0664098964717,1356.4132449127906,3.735396559107243
Daging Ayam Ras Segar,1715.28492212035,1456.4620276162789,4.0247754951783685
Daging Sapi,1016.5124606886446,670.9723837209302,0.4901278284592544
Daging Sapi Kualitas 1,1087.0278286507544,689.8226744186046,0.4906693534998722
Daging Sapi Kualitas 2,1700.6994127579187,1336.713844476743,1.0115647035223276
Telur Ayam,652.6132381890901,551.3631449854653,1.805897857915564
Telur Ayam Ras Segar,681.378666120883,602.5528252180234,1.978200531311819
Bawang Merah,6247.4100356905265,4929.213935319767,10.39163101814494
Bawang Merah Ukuran Sedang,6366.761158546511,5004.060228924419,10.542476740500453
Bawang Putih,4032.172966690384,3537.6969476744184,8.093755407604531
Bawang Putih Ukuran Sedang,3762.5232997557832,3316.1624273255816,7.586887818695769
Cabai Merah,6669.272922389326,5698.72292877907,11.263258410661798
Cabai Merah Besar,7330.88909328711,6224.683957122093,12.61188939960749
Cabai Merah Keriting ,6383.958948146545,5639.3629178779065,10.895926506869772
Cabai Rawit,7527.479644296585,6094.66824127907,9.827267074341348
Cabai Rawit Hijau,4968.38421722197,4076.5309774709294,8.07920269780443
Cabai Rawit Merah,11811.035926087035,9622.346929505815,13.39500700908295
Minyak Goreng,892.8565600233519,845.125,4.040905842273923
Minyak Goreng Curah,1872.1359124978203,1851.7792514534883,9.927969440107825
Minyak Goreng Kemasan Bermerk 1,453.0826263312679,393.23187681686045,1.7638869024547599
Minyak Goreng Kemasan Bermerk 2,942.9104388875883,876.8249000726744,4.11634853338632
Gula Pasir,780.4581186512727,669.2103470203489,3.497207600808282
Gula Pasir Kualitas Premium,1011.1281916674221,966.291378997093,4.888522949937351
Gula Pasir Lokal,703.1638213089185,560.2980105377907,3.008250258511806
