No,Komoditas,Train_RMSE,Train_MAE,Train_MAPE,Test_RMSE,Test_MAE,Test_MAPE
1,Beras,335.62,209.08,1.58,175.28,137.14,0.89
2,Beras Kualitas Bawah I,321.8,192.91,1.58,157.27,119.09,0.83
3,Beras Kualitas Bawah II,319.41,200.22,1.69,172.79,133.1,0.95
4,Beras Kualitas Medium I,351.17,216.36,1.64,180.48,135.59,0.87
5,Beras Kualitas Medium II,314.28,185.38,1.41,179.81,135.68,0.88
6,Beras Kualitas Super I,388.03,200.11,1.39,164.42,117.47,0.7
7,Beras Kualitas Super II,379.01,209.23,1.47,153.25,116.9,0.72
8,Daging Ayam,1476.54,1053.39,2.95,899.21,718.11,1.95
9,Daging Ayam Ras Segar,1451.8,1044.28,2.93,859.02,702.35,1.91
10,Daging Sapi,3696.94,2340.88,1.9,995.76,632.94,0.46
11,Daging Sapi Kualitas 1,3800.35,2226.75,1.73,1001.08,631.27,0.45
12,Daging Sapi Kualitas 2,3636.87,2260.95,1.91,1029.25,721.4,0.55
13,Telur Ayam,2137.04,1598.48,5.89,663.39,482.27,1.59
14,Telur Ayam Ras Segar,1484.72,741.78,2.61,471.86,299.89,0.98
15,Bawang Merah,2193.31,1526.72,4.06,1932.48,1469.98,3.28
16,Bawang Merah Ukuran Sedang,2214.25,1547.58,4.11,1952.09,1492.05,3.32
17,Bawang Putih,1303.49,971.69,2.97,763.3,624.7,1.42
18,Bawang Putih Ukuran Sedang,1397.01,1057.66,3.25,786.26,598.84,1.36
19,Cabai Merah,4731.66,3519.28,7.98,4423.25,3639.35,7.22
20,Cabai Merah Besar,4757.65,3615.91,8.33,4061.02,3177.57,6.38
21,Cabai Merah Keriting ,4536.15,3395.22,7.44,4338.27,3407.45,6.64
22,Cabai Rawit,5255.03,3790.49,7.63,4928.48,3852.45,6.36
23,Cabai Rawit Hijau,4083.16,2677.32,6.09,3209.98,2464.29,4.87
24,Cabai Rawit Merah,7078.24,5184.62,9.68,7004.11,5460.29,8.06
25,Minyak Goreng,635.36,348.54,1.81,65.44,53.85,0.26
26,Minyak Goreng Curah,601.92,459.28,2.93,104.33,78.55,0.42
27,Minyak Goreng Kemasan Bermerk 1,665.08,324.53,1.54,54.56,43.13,0.2
28,Minyak Goreng Kemasan Bermerk 2,646.45,316.39,1.58,71.09,45.63,0.22
29,Gula Pasir,467.58,342.94,2.19,67.74,44.49,0.24
30,Gula Pasir Kualitas Premium,356.97,222.14,1.34,94.24,67.97,0.35
31,Gula Pasir Lokal,335.26,240.43,1.58,81.27,55.04,0.3
